City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Port Elizabeth,ZA,73.31,few clouds,-33.918,25.5701,Waterford Hotel
3,Manokwari,ID,82.04,broken clouds,-0.8667,134.0833,Hotel Arfak
5,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
6,Kapaa,US,79.12,light rain,22.0752,-159.319,Pono Kai Resort
7,Bougouni,ML,70.61,broken clouds,11.417,-7.479,Hotel Piemont
9,Tabou,CI,75.97,light rain,4.423,-7.3528,hôtel le rochet
12,Rurrenabaque,BO,72.12,broken clouds,-14.4413,-67.5278,Hostal Madidi
16,Atuona,PF,77.81,few clouds,-9.8,-139.0333,Pearl Resort
17,Saint-Philippe,RE,81.99,scattered clouds,-21.3585,55.7679,Le Baril
18,Boa Vista,BR,76.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
20,Vaini,TO,82.56,few clouds,-21.2,-175.2,Keleti International Resort
24,Rikitea,PF,72.18,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
27,Itaituba,BR,72.19,broken clouds,-4.2761,-55.9836,TG Hotel
30,Cabo San Lucas,MX,73.51,few clouds,22.8909,-109.9124,Comfort Rooms
36,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Page 63 hostel
38,Kalemie,CD,70.74,overcast clouds,-5.9475,29.1947,Hotel du Lac
43,Yenagoa,NG,75.47,overcast clouds,4.9247,6.2642,Peretimi Hotels Ltd.
45,La Romana,DO,73.17,clear sky,18.4273,-68.9728,Hotel Frano
49,Brownsville,US,75.97,fog,25.9018,-97.4975,Cameron Hotel
52,Tabuk,PH,88.09,clear sky,17.4189,121.4443,Davidson Hotel
58,Hilo,US,81.28,overcast clouds,19.7297,-155.09,Dolphin Bay Hotel
59,Brisbane,AU,71.83,light rain,-27.4679,153.0281,The Manor Apartment Hotel
61,Pathein,MM,87.57,broken clouds,16.7833,94.7333,Taan Taan Ta
63,Mahebourg,MU,81.25,few clouds,-20.4081,57.7,Grand Bel Air
65,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,losmen Surya
71,Corn Island,NI,81.0,overcast clouds,12.1694,-83.0418,Sunrise Hotel
72,Along,IN,76.73,clear sky,28.1667,94.7667,Hotel Toshi Palace
73,Namatanai,PG,84.47,overcast clouds,-3.6667,152.4333,Namatanai Hotel
75,Benguela,AO,75.31,overcast clouds,-12.5763,13.4055,Hotel Moibela
77,Kuala Terengganu,MY,87.98,scattered clouds,5.3302,103.1408,Uncle Homestay
80,Grand Gaube,MU,81.37,overcast clouds,-20.0064,57.6608,Coco Villa
91,Cidreira,BR,70.36,broken clouds,-30.1811,-50.2056,Hotel Castelo
92,Noumea,NC,89.58,broken clouds,-22.2763,166.4572,Hotel Gondwana
105,Kavieng,PG,84.54,overcast clouds,-2.5744,150.7967,Kavieng Hotel
108,Sao Filipe,CV,73.69,few clouds,14.8961,-24.4956,Bela Vista
116,Vao,NC,79.43,overcast clouds,-22.6667,167.4833,Nataiwatch
132,Quelimane,MZ,73.35,light intensity drizzle,-17.8786,36.8883,Mabassa
138,Kahului,US,77.85,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
142,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Prainha
143,Souillac,MU,80.98,few clouds,-20.5167,57.5167,Hotel SkylineInn
145,Moron,AR,80.49,scattered clouds,-34.6534,-58.6198,La Esquina
146,Sao Jose Da Coroa Grande,BR,75.0,light rain,-8.8978,-35.1478,Hotel do Sol
147,Port-Gentil,GA,75.92,light rain,-0.7193,8.7815,Tara-Mé
148,Santa Rosa,PH,88.02,broken clouds,14.3122,121.1114,JARS RESORT
150,Touros,BR,76.87,broken clouds,-5.1989,-35.4608,Pousada Atlântico
166,Takoradi,GH,77.67,broken clouds,4.8845,-1.7554,Hillcrest
172,Faanui,PF,79.63,light rain,-16.4833,-151.75,Oa Oa Lodge
173,Batticaloa,LK,79.52,broken clouds,7.7102,81.6924,Lake View Hotel
177,Goya,AR,74.7,clear sky,-29.14,-59.2626,Hotel Residencial Taragui
178,Isangel,VU,84.74,scattered clouds,-19.55,169.2667,Tanna Lodge
200,Tual,ID,80.37,light rain,-5.6667,132.75,Suita
202,Khanu Woralaksaburi,TH,84.09,overcast clouds,16.0617,99.8606,Guesthouse
212,Inirida,CO,72.03,overcast clouds,3.8653,-67.9239,Residencias El Turista del Guainia
219,Celestun,MX,78.21,broken clouds,20.8667,-90.4,Hotel Flamingo Playa
220,Jacareacanga,BR,71.56,broken clouds,-6.2222,-57.7528,Hotel São Cristovão
221,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Aurora Alice Springs
222,Luis Correia,BR,76.15,overcast clouds,-2.8792,-41.6669,Hotel Amaro
237,Lethem,GY,74.91,overcast clouds,3.3803,-59.7968,Hotel Amazonas
238,Neiafu,TO,79.81,scattered clouds,-18.65,-173.9833,Port Wine Guest House
247,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Decameron Isleño
255,Hithadhoo,MV,81.43,overcast clouds,-0.6,73.0833,Pebbles Inn
261,Ambovombe,MG,76.6,overcast clouds,-25.1667,46.0833,La source
263,Mayumba,GA,75.74,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
265,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,The Adventures Inn
269,Bengkulu,ID,83.08,overcast clouds,-3.8004,102.2655,Dena Hotel
