City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Elizabeth,ZA,-33.918,25.5701,73.31,74,20,19.57,few clouds
1,Ushuaia,AR,-54.8,-68.3,46.06,57,40,8.05,scattered clouds
2,Klaksvik,FO,62.2266,-6.589,47.32,89,100,17.05,overcast clouds
3,Manokwari,ID,-0.8667,134.0833,82.04,81,64,5.5,broken clouds
4,Westport,US,41.1415,-73.3579,38.75,78,100,6.91,overcast clouds
5,Avarua,CK,-21.2078,-159.775,77.05,83,75,6.91,broken clouds
6,Kapaa,US,22.0752,-159.319,79.12,91,0,4.61,light rain
7,Bougouni,ML,11.417,-7.479,70.61,30,76,4.41,broken clouds
8,Vostok,RU,46.4856,135.8833,-3.35,89,100,13.67,overcast clouds
9,Tabou,CI,4.423,-7.3528,75.97,89,75,2.93,light rain
10,Ilulissat,GL,69.2167,-51.1,26.62,74,75,20.71,broken clouds
11,Burgeo,CA,47.6167,-57.6152,26.94,69,35,17.43,scattered clouds
12,Rurrenabaque,BO,-14.4413,-67.5278,72.12,80,71,3.15,broken clouds
13,Arraial Do Cabo,BR,-22.9661,-42.0278,72.93,91,81,21.03,broken clouds
14,Punta Arenas,CL,-53.15,-70.9167,46.11,61,100,26.04,overcast clouds
15,Puerto Ayora,EC,-0.7393,-90.3518,69.55,87,47,10.0,scattered clouds
16,Atuona,PF,-9.8,-139.0333,77.81,72,17,14.41,few clouds
17,Saint-Philippe,RE,-21.3585,55.7679,81.99,78,41,9.22,scattered clouds
18,Boa Vista,BR,2.8197,-60.6733,76.98,88,40,4.61,scattered clouds
19,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,75,6.91,broken clouds
20,Vaini,TO,-21.2,-175.2,82.56,83,20,10.36,few clouds
21,Kaitangata,NZ,-46.2817,169.8464,56.57,76,83,14.14,broken clouds
22,Cape Town,ZA,-33.9258,18.4232,66.11,80,75,10.36,broken clouds
